HEnce,hence,c,ReasonForward,0
enterprise,enterprise,s,CommonAuthorities,0
might,might,s,Contingency,0
thrive,thrive,c,StandardsPos,0
:,:,n,,0
I,i,s,Fear,0
fear,fear,s,Fear,1
our,our,s,Inclusive,0
purpose,purpose,s,ProjectAhead,0
is,is,s,Curiosity,0
discovered,discovered,c,Curiosity,1
.,.,nn,DirectAddress,0
Look,look,s,DirectAddress,1
how,how,s,DirectAddress,2
he,he,s,DirectAddress,3
makes,makes,s,ReportingEvents,0
to,to,s,ReportingEvents,1
Caesar,caesar,c,,0
:,:,s,,0
mark,mark,s,AbstractConcepts,0
him,him,c,PersonPronoun,0
.,.,nnn,,0
Caska,caska,s,UNRECOGNIZED,0
be,be,s,ReportingStates,0
sudden,sudden,c,SubjectiveTime,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
we,we,s,ReasonForward,2
fear,fear,s,Fear,0
prevention,prevention,c,CommonAuthorities,0
.,.,n,,0
Brutus,brutus,s,UNRECOGNIZED,0
what,what,s,,0
shall,shall,s,ProjectAhead,0
be,be,s,ProjectAhead,1
done,done,c,ReportingStates,0
?,?,s,Question,0
If,if,s,Contingency,0
this,this,s,,0
be,be,s,ReportingStates,0
known,known,c,CommonAuthorities,0
",",",",n,,0
Cassius,cassius,s,,0
or,or,s,,0
Caesar,caesar,s,,0
never,never,s,DenyDisclaim,0
shall,shall,s,ProjectAhead,0
turn,turn,s,Motions,0
back,back,c,Motions,1
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
I,i,s,ReasonForward,2
will,will,s,PredictedFuture,0
slay,slay,s,Negativity,0
my,my,s,FirstPer,0
self,self,c,SubjectivePercept,0
.,.,nn,,0
Cassius,cassius,s,,0
be,be,s,ReportingStates,0
constant,constant,c,RecurringEvents,0
:,:,n,,0
Popillius,popillius,s,UNRECOGNIZED,0
Lena,lena,s,UNRECOGNIZED,0
speaks,speaks,s,,0
not,not,s,DenyDisclaim,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
purposes,purposes,c,ProjectAhead,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
look,look,s,ReportingEvents,0
he,he,s,PersonPronoun,0
smiles,smiles,c,Positivity,0
",",",",s,,0
and,and,s,,0
Caesar,caesar,s,,0
does,does,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
change,change,c,DenyDisclaim,2
.,.,nn,,0
Trebonius,trebonius,s,UNRECOGNIZED,0
knows,knows,s,Confidence,0
his,his,s,SubjectiveTime,0
time,time,c,SubjectiveTime,1
:,:,s,,0
for,for,s,,0
look,look,s,ReportingEvents,0
you,you,s,DirectAddress,0
Brutus,brutus,n,UNRECOGNIZED,0
He,he,s,PersonPronoun,0
draws,draws,s,Motions,0
Mark,mark,s,AbstractConcepts,0
Antony,antony,s,UNRECOGNIZED,0
out,out,s,Negativity,0
of,of,s,Negativity,1
the,the,s,Negativity,2
way,way,c,Negativity,3
.,.,nn,Question,0
Where,where,s,Question,1
is,is,s,Question,2
Metellus,metellus,s,UNRECOGNIZED,0
Cimber,cimber,c,UNRECOGNIZED,0
",",",",s,,0
let,let,s,ReportingEvents,0
him,him,s,ReportingEvents,1
go,go,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
presently,presently,s,TimeShift,0
prefer,prefer,s,PrivateThinking,0
his,his,s,PersonPronoun,0
suite,suite,s,SenseObject,0
to,to,s,,0
Caesar,caesar,c,,0
.,.,nn,,0
He,he,s,Updates,0
is,is,s,Updates,1
addressed,addressed,c,ReportingEvents,0
:,:,s,,0
press,press,s,Motions,0
near,near,c,SpaceRelation,0
",",",",s,,0
and,and,s,,0
second,second,s,Sequence,0
him,him,c,PersonPronoun,0
.,.,nnn,,0
Caska,caska,c,UNRECOGNIZED,0
",",",",s,,0
you,you,s,DirectAddress,0
are,are,s,DirectAddress,1
the,the,s,DirectAddress,2
first,first,s,Sequence,0
that,that,s,,0
reares,reares,s,UNRECOGNIZED,0
your,your,s,DirectAddress,0
hand,hand,c,SenseObject,0
.,.,nnn,,0
Are,are,s,Question,0
we,we,s,Question,1
all,all,s,Updates,0
ready,ready,c,Updates,1
?,?,s,Question,0
What,what,s,Question,0
is,is,s,Question,1
now,now,s,Immediacy,0
amiss,amiss,c,StandardsNeg,0
",",",",n,,0
That,that,s,,0
Caesar,caesar,s,,0
and,and,s,,0
his,his,s,PersonPronoun,0
Senate,senate,s,CommonAuthorities,0
must,must,s,Insist,0
redress,redress,c,StandardsPos,0
?,?,nn,Question,0
Most,most,s,Comparison,0
high,high,c,,0
",",",",s,,0
most,most,s,Comparison,0
mighty,mighty,c,Intensity,0
",",",",s,,0
and,and,s,,0
most,most,s,Comparison,0
puisant,puisant,s,UNRECOGNIZED,0
Caesar,caesar,n,,0
Metellus,metellus,s,UNRECOGNIZED,0
Cymber,cymber,s,UNRECOGNIZED,0
throws,throws,s,Motions,0
before,before,s,Sequence,0
thy,thy,s,DirectAddress,0
Seat,seat,n,SenseObject,0
An,an,s,,0
humble,humble,s,SubjectivePercept,0
heart,heart,c,SenseObject,0
.,.,nn,,0
I,i,s,Insist,0
must,must,s,Insist,1
prevent,prevent,s,Resistance,0
thee,thee,s,DirectAddress,0
Cymber,cymber,c,UNRECOGNIZED,0
:,:,n,,0
These,these,s,Immediacy,0
couchings,couchings,c,SenseObject,0
",",",",s,,0
and,and,s,,0
these,these,s,Immediacy,0
lowly,lowly,s,Negativity,0
courtesies,courtesies,n,Positivity,0
Might,might,s,Contingency,0
fire,fire,s,Intensity,0
the,the,s,Intensity,1
blood,blood,s,Intensity,2
of,of,s,,0
ordinary,ordinary,s,GenericEvents,0
men,men,c,GenericEvents,1
",",",",n,,0
And,and,s,,0
turn,turn,s,,0
pre-Ordinance,pre-ordinance,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
first,first,s,Sequence,0
Decree,decree,c,CommonAuthorities,0
*,*,n,,0
Into,into,s,Transformation,0
the,the,s,Transformation,1
lane,lane,s,SpaceRelation,0
of,of,s,,0
Children,children,c,PersonProperty,0
.,.,s,,0
Be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
fond,fond,c,Positivity,0
.,.,n,,0
To,to,s,,0
think,think,s,PrivateThinking,0
that,that,s,PrivateThinking,1
Caesar,caesar,s,,0
bears,bears,s,SenseObject,0
such,such,s,Intensity,0
Rebel,rebel,s,Resistance,0
blood,blood,n,SenseObject,0
That,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
be,be,s,PredictedFuture,2
thawed,thawed,s,SenseProperty,0
from,from,s,SenseProperty,1
the,the,s,Confidence,0
true,true,s,Confidence,1
quality,quality,n,,0
With,with,s,Specifiers,0
that,that,s,Specifiers,1
which,which,s,,0
melts,melts,s,Motions,0
Fools,fools,c,Negativity,0
",",",",s,,0
I,i,s,SelfDisclosure,0
mean,mean,s,SelfDisclosure,1
sweet,sweet,s,Positivity,0
words,words,c,Positivity,1
",",",",n,,0
Low-crooked-curtsies,low-crooked-curtsies,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
base,base,s,AbstractConcepts,0
Spaniell,spaniell,s,UNRECOGNIZED,0
fawning,fawning,c,Positivity,0
:,:,n,,0
Thy,thy,s,DirectAddress,0
Brother,brother,s,PersonProperty,0
by,by,s,,0
decree,decree,s,CommonAuthorities,0
is,is,s,ReportingStates,0
banished,banished,c,Resistance,0
:,:,n,,0
If,if,s,Contingency,0
thou,thou,s,DirectAddress,0
do,do,s,Intensity,0
bend,bend,c,SpaceRelation,0
",",",",s,,0
and,and,s,,0
pray,pray,c,Intensity,0
",",",",s,,0
and,and,s,,0
fawn,fawn,s,SenseObject,0
for,for,s,SubjectivePercept,0
him,him,c,SubjectivePercept,1
",",",",n,,0
I,i,s,FirstPer,0
spurn,spurn,s,Negative_Relation,0
thee,thee,s,DirectAddress,0
like,like,s,Resemblances,0
a,a,s,Resemblances,1
Curre,curre,s,UNRECOGNIZED,0
out,out,s,Negativity,0
of,of,s,Negativity,1
my,my,s,Negativity,2
way,way,c,Negativity,3
.,.,n,Imperative,0
Know,know,c,Imperative,1
",",",",s,,0
Caesar,caesar,s,,0
does,does,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
wrong,wrong,c,StandardsNeg,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
without,without,s,Contingency,0
cause,cause,n,Cause,0
Will,will,s,PredictedFuture,0
he,he,s,PersonPronoun,0
be,be,s,ReportingStates,0
satisfied,satisfied,c,ReportingStates,0
.,.,nn,ReportingStates,1
Is,is,s,ReportingStates,0
there,there,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
voice,voice,s,,0
more,more,s,Comparison,0
worthy,worthy,s,StandardsPos,0
then,then,s,,0
my,my,s,SelfDisclosure,0
own,own,c,SelfDisclosure,1
",",",",n,,0
To,to,s,,0
sound,sound,s,SenseProperty,0
more,more,s,Comparison,0
sweetly,sweetly,s,Positivity,0
in,in,s,,0
great,great,s,Intensity,0
Caesar's,caesar's,s,UNRECOGNIZED,0
ear,ear,c,SenseObject,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
the,the,s,,0
repealing,repealing,s,CommonAuthorities,0
of,of,s,,0
my,my,s,FirstPer,0
banished,banished,s,Resistance,0
Brother,brother,c,PersonProperty,0
?,?,nn,Question,0
I,i,s,FirstPer,0
kiss,kiss,s,Positivity,0
thy,thy,s,DirectAddress,0
hand,hand,c,SenseObject,0
",",",",s,Resistance,0
but,but,s,Resistance,1
not,not,s,DenyDisclaim,0
in,in,s,,0
flattery,flattery,s,SubjectivePercept,0
Caesar,caesar,c,,0
:,:,n,,0
Desiring,desiring,s,Positivity,0
thee,thee,c,DirectAddress,0
",",",",s,,0
that,that,s,,0
Publius,publius,s,UNRECOGNIZED,0
Cymber,cymber,s,UNRECOGNIZED,0
may,may,n,Contingency,0
Have,have,s,Contingency,1
an,an,s,Immediacy,0
immediate,immediate,s,Immediacy,1
freedom,freedom,s,StandardsPos,0
of,of,s,StandardsPos,1
repeal,repeal,c,CommonAuthorities,0
.,.,nn,Question,0
What,what,s,Question,1
Brutus,brutus,c,UNRECOGNIZED,0
?,?,nnn,Question,0
Pardon,pardon,s,Positivity,0
Caesar,caesar,c,,0
:,:,s,,0
Caesar,caesar,s,,0
pardon,pardon,c,Positivity,0
:,:,n,,0
As,as,s,,0
low,low,s,AbstractConcepts,0
as,as,s,Specifiers,0
to,to,s,Specifiers,1
thy,thy,s,DirectAddress,0
foot,foot,s,SenseObject,0
does,does,s,ReportingEvents,0
Cassius,cassius,s,,0
fall,fall,c,,0
",",",",n,,0
To,to,s,,0
beg,beg,s,Intensity,0
infranchisement,infranchisement,s,UNRECOGNIZED,0
for,for,s,,0
Publius,publius,s,UNRECOGNIZED,0
Cymber,cymber,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,Contingency,0
could,could,s,Contingency,1
be,be,s,Contingency,2
well,well,s,SenseObject,0
moved,moved,c,ReportingStates,0
",",",",s,ReportingStates,1
if,if,s,Contingency,0
I,i,s,Contingency,1
were,were,s,Contingency,2
as,as,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",n,,0
If,if,s,Contingency,0
I,i,s,Contingency,1
could,could,s,Contingency,2
pray,pray,s,Intensity,0
to,to,s,Intensity,1
move,move,c,Motions,0
",",",",s,,0
Prayers,prayers,s,CommonAuthorities,0
would,would,s,ProjectBack,0
move,move,s,Motions,0
me,me,c,FirstPer,0
:,:,n,,0
But,but,s,Resistance,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
constant,constant,s,RecurringEvents,0
as,as,s,,0
the,the,s,,0
Northern,northern,s,SpaceRelation,0
Star,star,c,SenseObject,0
",",",",n,,0
Of,of,s,,0
whose,whose,s,PersonPronoun,0
true,true,s,StandardsPos,0
fixed,fixed,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
resting,resting,s,ReportingEvents,0
quality,quality,c,,0
",",",",n,,0
There,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
fellow,fellow,s,PersonProperty,0
in,in,s,,0
the,the,s,,0
Firmament,firmament,c,StandardsPos,0
.,.,n,,0
The,the,s,SenseObject,0
Skies,skies,s,SenseObject,1
are,are,s,ReportingStates,0
painted,painted,s,Motions,0
with,with,s,Motions,1
unnumbered,unnumbered,s,AbstractConcepts,0
sparks,sparks,c,SenseProperty,0
",",",",n,,0
They,they,s,Exceptions,0
are,are,s,Exceptions,1
all,all,s,Exceptions,2
Fire,fire,c,SenseObject,0
",",",",s,,0
and,and,s,,0
every,every,s,Generalization,0
one,one,s,Generalization,1
does,does,s,ReportingEvents,0
shine,shine,c,SenseProperty,0
:,:,n,,0
But,but,c,Resistance,0
",",",",s,Resistance,1
there,there,s,ReportingStates,0
is,is,s,ReportingStates,1
but,but,s,Exceptions,0
one,one,s,Exceptions,1
in,in,s,Generalization,0
all,all,s,Generalization,1
does,does,s,ReportingEvents,0
hold,hold,s,,0
his,his,s,PersonPronoun,0
place,place,c,SpaceRelation,0
.,.,n,ReasonForward,0
So,so,c,ReasonForward,1
",",",",s,,0
in,in,s,Intensity,0
the,the,s,Intensity,1
World,world,c,Intensity,2
;,;,s,,0
It,it,s,,0
Is,is,s,ReportingStates,0
furnished,furnished,s,ReportingEvents,0
well,well,s,SenseObject,0
with,with,s,,0
Men,men,c,PersonProperty,0
",",",",n,,0
And,and,s,,0
Men,men,s,PersonProperty,0
are,are,s,ReportingStates,0
Flesh,flesh,s,AbstractConcepts,0
and,and,s,AbstractConcepts,1
Blood,blood,c,AbstractConcepts,2
",",",",s,,0
and,and,s,,0
apprehensiue,apprehensiue,c,UNRECOGNIZED,0
;,;,n,Resistance,0
Yet,yet,s,Resistance,1
in,in,s,,0
the,the,s,,0
number,number,c,AbstractConcepts,0
",",",",s,,0
I,i,s,FirstPer,0
do,do,s,Confidence,0
know,know,s,Confidence,1
but,but,s,Exceptions,0
One,one,n,Exceptions,1
That,that,s,,0
vnassayleable,vnassayleable,s,UNRECOGNIZED,0
holds,holds,s,ReportingEvents,0
on,on,s,ReportingEvents,1
his,his,s,PersonPronoun,0
Rank,rank,c,,0
",",",",n,,0
Vnshak'd,vnshak'd,s,UNRECOGNIZED,0
of,of,s,,0
Motion,motion,c,Motions,0
:,:,s,,0
and,and,s,,0
that,that,s,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
he,he,c,PersonPronoun,0
",",",",n,,0
Let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
a,a,s,SubjectivePercept,0
little,little,s,SubjectivePercept,1
show,show,s,ReportingEvents,0
it,it,c,,0
",",",",s,,0
even,even,s,Intensity,0
in,in,s,Intensity,1
this,this,c,Metadiscourse,0
:,:,n,Metadiscourse,1
That,that,s,,0
I,i,s,Autobio,0
was,was,s,Autobio,1
constant,constant,s,RecurringEvents,0
Cymber,cymber,s,UNRECOGNIZED,0
should,should,s,Insist,0
be,be,s,ReportingStates,0
banished,banished,c,Resistance,0
",",",",n,,0
And,and,s,,0
constant,constant,s,RecurringEvents,0
do,do,s,Intensity,0
remain,remain,s,TimeDuration,0
to,to,s,TimeDuration,0
keep,keep,s,TimeDuration,1
him,him,s,PersonPronoun,0
so,so,c,Intensity,0
.,.,nn,Intensity,1
O,o,s,LangRef,0
Caesar,caesar,c,,0
.,.,nnn,,0
Hence,hence,c,ReasonForward,0
:,:,s,,0
Will,will,s,PredictedFuture,0
thou,thou,s,DirectAddress,0
lift,lift,s,ReportingEvents,0
up,up,s,,0
Olympus,olympus,c,UNRECOGNIZED,0
?,?,nnn,Question,0
Great,great,s,Intensity,0
Caesar,caesar,c,,0
.,.,nnn,Question,0
Does,does,s,Question,1
not,not,s,DenyDisclaim,0
Brutus,brutus,s,UNRECOGNIZED,0
bootlesse,bootlesse,s,UNRECOGNIZED,0
kneel,kneel,c,Motions,0
?,?,nnn,Question,0
Speak,speak,s,ReportingEvents,0
hands,hands,s,SenseObject,0
for,for,s,SelfDisclosure,0
me,me,c,SelfDisclosure,1
.,.,nnn,,0
Et,et,s,DirectAddress,0
Tu,tu,s,DirectAddress,1
Brute,brute,c,Anger,0
?,?,s,Question,0
--,--,s,,0
Then,then,s,Sequence,0
fall,fall,s,Sequence,1
Caesar,caesar,c,,0
.,.,nnn,,0
Liberty,liberty,c,StandardsPos,0
",",",",s,,0
Freedom,freedom,c,StandardsPos,0
;,;,s,,0
Tyranny,tyranny,s,Negative_Relation,0
is,is,s,ReportingStates,0
dead,dead,c,Negativity,0
",",",",n,,0
Run,run,s,ReportingEvents,0
hence,hence,c,ReasonForward,0
",",",",s,ReasonForward,1
proclaim,proclaim,c,Citations,0
",",",",s,,0
cry,cry,s,Motions,0
it,it,s,,0
about,about,s,,0
the,the,s,SenseObject,0
Streets,streets,c,SenseObject,1
.,.,nn,,0
Some,some,s,Uncertainty,0
to,to,s,,0
the,the,s,Inclusive,0
common,common,s,Inclusive,1
Pulpits,pulpits,c,SenseObject,0
",",",",s,,0
and,and,s,,0
cry,cry,s,Intensity,0
out,out,n,Intensity,1
Liberty,liberty,c,StandardsPos,0
",",",",s,,0
Freedom,freedom,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
Enfranchisement,enfranchisement,c,CommonAuthorities,0
.,.,nn,,0
People,people,s,PersonProperty,0
and,and,s,,0
Senators,senators,c,CommonAuthorities,0
",",",",s,,0
be,be,s,ReportingStates,0
not,not,s,DenyDisclaim,0
affrighted,affrighted,c,Fear,0
:,:,n,,0
Fly,fly,s,Motions,0
not,not,c,DenyDisclaim,0
",",",",s,,0
stand,stand,s,SpaceRelation,0
still,still,c,SpaceRelation,1
:,:,s,,0
Ambitions,ambitions,s,ProjectAhead,0
debt,debt,s,AbstractConcepts,0
is,is,s,ReportingStates,0
paid,paid,c,ReportingStates,0
.,.,nn,ReportingStates,1
Go,go,s,ReportingEvents,0
to,to,s,ReportingEvents,1
the,the,s,ReportingEvents,2
Pulpit,pulpit,s,SenseObject,0
Brutus,brutus,c,UNRECOGNIZED,0
.,.,nnn,DirectAddress,0
And,and,s,DirectAddress,1
Cassius,cassius,s,,0
too,too,c,Metadiscourse,0
.,.,nnn,Metadiscourse,1
Where,where,s,Question,0
Is,is,s,Question,1
Publius,publius,c,UNRECOGNIZED,0
?,?,nnn,Question,0
Here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
quite,quite,s,Intensity,0
confounded,confounded,s,Negativity,0
with,with,s,Negativity,1
this,this,s,,0
mutiny,mutiny,c,Negativity,0
.,.,nnn,,0
Stand,stand,s,Intensity,0
fast,fast,s,Intensity,1
together,together,c,Inclusive,0
",",",",s,,0
least,least,s,Comparison,0
some,some,s,Uncertainty,0
Friend,friend,s,Positivity,0
of,of,s,Positivity,1
Caesar's,caesar's,n,UNRECOGNIZED,0
Should,should,s,Insist,0
chance,chance,s,Contingency,0
--,--,nn,,0
Talk,talk,s,ReportingEvents,0
not,not,s,DenyDisclaim,0
of,of,s,,0
standing,standing,c,,0
.,.,s,,0
Publius,publius,s,UNRECOGNIZED,0
good,good,s,Positivity,0
cheer,cheer,c,Positivity,1
",",",",n,,0
There,there,s,DenyDisclaim,0
is,is,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
harm,harm,s,Negativity,0
intended,intended,s,ProjectAhead,0
to,to,s,ProjectAhead,1
your,your,s,DirectAddress,0
person,person,c,PersonProperty,0
",",",",n,,0
Nor,nor,s,DenyDisclaim,0
to,to,s,DenyDisclaim,0
no,no,s,DenyDisclaim,1
Roman,roman,s,AbstractConcepts,0
else,else,c,Contingency,0
:,:,s,,0
so,so,s,,0
tell,tell,s,,0
them,them,s,,0
Publius,publius,c,UNRECOGNIZED,0
.,.,nn,DirectAddress,0
And,and,s,DirectAddress,1
leave,leave,s,,0
us,us,s,Inclusive,0
Publius,publius,c,UNRECOGNIZED,0
",",",",s,,0
least,least,s,Comparison,0
that,that,s,,0
the,the,s,PersonProperty,0
people,people,n,PersonProperty,1
Rushing,rushing,s,SubjectiveTime,0
on,on,s,SubjectiveTime,1
us,us,c,Inclusive,0
",",",",s,Future_Question,0
should,should,s,Future_Question,1
do,do,s,DirectAddress,0
your,your,s,DirectAddress,1
Age,age,s,Specifiers,0
some,some,s,Uncertainty,0
mischief,mischief,c,StandardsNeg,0
.,.,nn,Question,0
Do,do,s,Question,1
so,so,c,AbstractConcepts,0
",",",",s,AbstractConcepts,1
and,and,s,,0
let,let,s,ReportingEvents,0
no,no,s,DenyDisclaim,0
man,man,s,DenyDisclaim,1
abide,abide,s,ReportingEvents,0
this,this,s,,0
deed,deed,c,AbstractConcepts,0
",",",",n,Resistance,0
But,but,s,Resistance,1
we,we,s,,0
the,the,s,,0
Doers,doers,c,StandardsPos,0
.,.,nn,Question,0
Where,where,s,Question,1
is,is,s,Question,2
Antony,antony,c,UNRECOGNIZED,0
?,?,nnn,Question,0
Fled,fled,s,SceneShift,0
to,to,s,SceneShift,1
his,his,s,PersonPronoun,0
House,house,s,SenseObject,0
amazed,amazed,c,Intensity,0
:,:,n,,0
Men,men,c,PersonProperty,0
",",",",s,,0
Wives,wives,c,PersonProperty,0
",",",",s,,0
and,and,s,,0
Children,children,c,PersonProperty,0
",",",",s,,0
stare,stare,c,SpaceRelation,0
",",",",s,,0
cry,cry,s,Intensity,0
out,out,c,Intensity,1
",",",",s,,0
and,and,s,,0
run,run,c,ReportingEvents,0
",",",",n,,0
As,as,s,Metadiscourse,0
it,it,s,Metadiscourse,1
were,were,s,Metadiscourse,2
Doomesday,doomesday,c,UNRECOGNIZED,0
.,.,nn,,0
Fates,fates,c,SubjectivePercept,0
",",",",s,,0
we,we,s,,0
will,will,s,PredictedFuture,0
know,know,s,Confidence,0
your,your,s,DirectAddress,0
pleasures,pleasures,c,Positivity,0
:,:,n,,0
That,that,s,Inclusive,0
we,we,s,Inclusive,1
shall,shall,s,ProjectAhead,0
dye,dye,s,SenseObject,0
we,we,s,,0
know,know,c,Confidence,0
",",",",s,,0
it,it,s,,0
is,is,s,Exceptions,0
but,but,s,Exceptions,1
the,the,s,TimeShift,0
time,time,n,TimeShift,1
And,and,s,,0
drawing,drawing,s,Motions,0
days,days,s,TimeDuration,0
out,out,c,TimeDuration,1
",",",",s,,0
that,that,s,,0
men,men,s,PersonProperty,0
stand,stand,s,Confidence,0
upon,upon,c,Confidence,1
.,.,nn,Question,0
Why,why,s,Question,1
he,he,s,CommonAuthorities,0
that,that,s,CommonAuthorities,1
cuts,cuts,s,ReportingEvents,0
off,off,s,ReportingEvents,1
twenty,twenty,s,TimeDuration,0
years,years,s,TimeDuration,1
of,of,s,TimeDuration,2
life,life,c,AbstractConcepts,0
",",",",n,,0
Cuts,cuts,s,ReportingEvents,0
off,off,s,ReportingEvents,1
so,so,s,Intensity,0
many,many,s,Intensity,1
years,years,s,TimeDuration,0
of,of,s,TimeDuration,1
fearing,fearing,s,Fear,0
death,death,c,Negativity,0
.,.,nn,,0
Grant,grant,s,CommonAuthorities,0
that,that,c,,0
",",",",s,,0
and,and,s,Sequence,0
then,then,s,Sequence,1
is,is,s,Sequence,2
Death,death,s,Negativity,0
a,a,s,,0
Benefit,benefit,c,StandardsPos,0
:,:,n,,0
So,so,s,,0
are,are,s,Question,0
we,we,s,Question,1
Caesar's,caesar's,s,UNRECOGNIZED,0
Friends,friends,c,StandardsPos,0
",",",",s,,0
that,that,s,,0
have,have,s,,0
abridg'd,abridg'd,n,UNRECOGNIZED,0
His,his,s,SubjectiveTime,0
time,time,s,SubjectiveTime,1
of,of,s,,0
fearing,fearing,s,Fear,0
death,death,c,Negativity,0
.,.,s,Imperative,0
Stoop,stoop,s,Imperative,1
Romans,romans,c,,0
",",",",s,,0
stoop,stoop,c,ReportingStates,0
",",",",n,ReportingStates,1
And,and,s,,0
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
bathe,bathe,s,Motions,0
our,our,s,Inclusive,0
hands,hands,s,Motions,0
in,in,s,Motions,1
Caesar's,caesar's,s,UNRECOGNIZED,0
blood,blood,n,SenseObject,0
Up,up,s,SpaceRelation,0
to,to,s,SpaceRelation,1
the,the,s,SpaceRelation,2
Elbowes,elbowes,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
besmeare,besmeare,s,UNRECOGNIZED,0
our,our,s,Inclusive,0
Swords,swords,c,SenseObject,0
:,:,n,,0
Then,then,s,Sequence,0
walk,walk,s,Sequence,1
we,we,s,,0
forth,forth,c,SpaceRelation,0
",",",",s,,0
even,even,s,SubjectivePercept,0
to,to,s,,0
the,the,s,,0
Market,market,s,SenseObject,0
place,place,c,SenseObject,1
",",",",n,,0
And,and,s,,0
wauing,wauing,s,UNRECOGNIZED,0
our,our,s,Inclusive,0
red,red,s,SenseProperty,0
Weapons,weapons,s,AbstractConcepts,0
over,over,s,SubjectivePercept,0
our,our,s,SubjectivePercept,1
heads,heads,c,SubjectivePercept,2
",",",",n,,0
Let,let,s,DirectAddress,0
Us,us,s,DirectAddress,1
all,all,s,,0
cry,cry,s,Motions,0
Peace,peace,c,StandardsPos,0
",",",",s,,0
Freedom,freedom,c,StandardsPos,0
",",",",s,,0
and,and,s,,0
Liberty,liberty,c,StandardsPos,0
.,.,nn,Imperative,0
Stoop,stoop,s,Imperative,1
then,then,c,TimeShift,0
",",",",s,TimeShift,1
and,and,s,,0
wash,wash,c,Motions,0
.,.,s,OpenQuery,0
How,how,s,OpenQuery,1
many,many,s,OpenQuery,2
Ages,ages,s,TimeDuration,0
hence,hence,n,ReasonForward,0
Shall,shall,s,ProjectAhead,0
this,this,s,,0
our,our,s,Inclusive,0
lofty,lofty,s,StandardsPos,0
Scene,scene,s,AbstractConcepts,0
be,be,s,ReportingStates,0
acted,acted,s,ReportingEvents,0
over,over,c,,0
",",",",n,,0
In,in,s,,0
State,state,s,,0
unborn,unborn,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Accents,accents,s,SenseProperty,0
yet,yet,s,Resistance,0
unknown,unknown,c,Uncertainty,0
?,?,nn,Question,0
How,how,s,OpenQuery,0
many,many,s,OpenQuery,1
times,times,s,OpenQuery,2
shall,shall,s,ProjectAhead,0
Caesar,caesar,s,,0
bleed,bleed,s,Motions,0
in,in,s,Specifiers,0
sport,sport,c,Specifiers,1
",",",",n,,0
That,that,s,Immediacy,0
now,now,s,Immediacy,1
on,on,s,,0
Pompeyes,pompeyes,s,UNRECOGNIZED,0
Basis,basis,s,AbstractConcepts,0
lie,lie,s,SpaceRelation,0
along,along,c,SpaceRelation,1
",",",",n,,0
No,no,s,DenyDisclaim,0
worthier,worthier,s,StandardsPos,0
then,then,s,,0
the,the,s,SenseObject,0
dust,dust,c,SenseObject,1
?,?,nn,Question,0
So,so,s,,0
often,often,s,RecurringEvents,0
as,as,s,Comparison,0
that,that,s,Comparison,1
shall,shall,s,ProjectAhead,0
be,be,c,ProjectAhead,1
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
often,often,s,RecurringEvents,0
shall,shall,s,ProjectAhead,0
the,the,s,SenseObject,0
knot,knot,s,SenseObject,1
of,of,s,SenseObject,2
us,us,s,Inclusive,0
be,be,s,ReportingStates,0
called,called,c,ReportingStates,0
",",",",n,ReportingStates,1
The,the,s,PersonProperty,0
Men,men,s,PersonProperty,1
that,that,s,,0
gave,gave,s,Narrative_Verbs,0
their,their,s,Narrative_Verbs,1
Country,country,s,AbstractConcepts,0
liberty,liberty,c,StandardsPos,0
.,.,nn,Question,0
What,what,c,Question,1
",",",",s,Question,2
shall,shall,s,Future_Question,0
we,we,s,Future_Question,1
forth,forth,c,SpaceRelation,0
?,?,nnn,Question,0
I,i,c,FirstPer,0
",",",",s,,0
every,every,s,Inclusive,0
